time,evt_type,go,brake_rt,sec_rt,sdlp1,sdlp2,segnum,pathnum,on_exit
1313.86400,3,1,1.11500,1.11500,0.04200,0.08300,52,26,False
1320.57700,1,0,1.66500,nan,0.05700,0.08400,54,30,True
1328.49300,1,0,0.61000,nan,0.10300,0.08900,59,30,True
1335.60600,1,0,0.65600,nan,0.04100,0.17700,60,30,True
1343.12100,1,0,0.60300,nan,0.04600,0.08000,88,30,True
1350.73300,1,0,0.73000,nan,0.03600,0.11500,89,30,True
1356.94700,1,0,0.73400,nan,0.00600,0.02100,90,30,True
1363.95900,3,0,nan,nan,0.11400,0.14000,91,30,True
1370.57000,2,0,nan,nan,0.03700,0.06900,92,30,True
1376.68300,2,1,nan,1.21600,0.06100,0.07200,92,30,True
1384.59600,3,0,0.58300,nan,0.09800,0.09400,66,30,True
1391.01000,1,0,0.69900,nan,0.00800,0.07000,67,30,True
1398.12300,2,1,nan,nan,1.45100,0.42000,68,30,True
1405.23800,3,0,1.60900,nan,0.08900,0.02400,69,32,False
1411.24900,2,1,nan,0.94400,0.00800,0.03300,69,32,False
1418.46000,3,1,0.93600,0.92000,0.05800,0.03600,95,32,False
1425.87300,2,1,nan,1.11300,0.04800,0.12900,95,32,False
1431.98600,2,1,nan,0.80900,0.00700,0.05500,98,32,False
1439.80000,2,1,nan,0.79500,0.03800,0.03300,75,32,False
1446.21200,1,0,0.67200,nan,0.05100,0.08700,113,4,False
1453.12400,1,0,0.87000,nan,0.01300,0.01400,114,4,False
1460.93600,2,1,nan,1.02400,0.01700,0.18200,115,4,False
1467.14800,2,1,nan,0.86000,0.00500,0.04500,116,4,False
1474.56100,2,0,nan,nan,0.14700,0.17000,117,4,False
1481.07300,3,0,0.94500,nan,0.01900,0.05900,118,4,False
1488.18600,1,0,0.72600,nan,0.02600,0.25600,118,4,False
1494.20100,2,1,nan,0.96300,0.19100,0.12900,119,4,False
1501.11700,2,0,nan,nan,0.07100,0.02600,128,4,False
1508.13000,1,0,0.72300,nan,0.03000,0.01000,128,4,False
1514.74300,1,0,0.71900,nan,0.00400,0.08000,127,10,False
1521.65700,3,1,1.06100,1.10800,0.03400,0.25100,120,10,False
