campagna,MedianWeight,MeanWeight,TemperatureC,DOmgL,pH,Year,Monthnumber,Week,Dayofmonth,Hour,SpConducibilitymicroScm,DOoutmgLTARGET,pHout,ConducibilitymicroScm,DOsat,DOlocal,SpConducibilitymicroScmOUT,Tagliag,Biomassakg,quantomangimekg,timestamped,y_test,predicted
3332,3,266.0,311.8,16.729,11.27,7.98,2020,8,31,1,4,170.2,9.72,7.6,147.9,101.6,101.6,172.7,310.29,10843.0,0.0,2020.0_31.0_1.0_4.0,9.72,10.111385
1371,3,343.0,352.32584269662914,14.219,13.76,7.8,2020,7,28,12,1,169.0,11.45,7.6,135.5,113.5,113.5,167.8,310.29,11798.0,0.0,2020.0_28.0_12.0_1.0,11.45,10.7500925
3477,3,244.5,246.15789473684208,17.129,11.52,8.11,2020,8,34,21,0,178.5,10.08,7.75,156.9,106.4,106.4,181.3,318.27,9975.0,0.0,2020.0_34.0_21.0_0.0,10.080001,9.0079
1548,3,340.0,342.0857142857143,14.129,14.15,7.97,2020,7,29,13,8,173.9,12.5,7.68,140.1,122.8,122.8,175.0,310.29,11758.0,0.0,2020.0_29.0_13.0_8.0,12.5,11.152227
4552,3,352.0,352.3429844097993,12.982,12.27,8.36,2020,9,37,7,11,194.8,8.51,7.71,154.2,81.1,81.1,199.3,340.0,9733.0,0.0,2020.0_37.0_7.0_11.0,8.51,10.574758
4466,3,291.0,294.7708333333333,13.754,11.52,8.29,2020,9,37,7,2,198.0,8.59,7.81,158.6,83.7,83.7,200.0,340.0,9733.0,0.0,2020.0_37.0_7.0_2.0,8.59,10.634419
1077,3,313.0,344.98850574712634,14.478,14.37,8.06,2020,7,28,8,9,173.4,12.19,7.67,140.5,120.4,120.4,174.6,310.29,12052.0,0.0,2020.0_28.0_8.0_9.0,12.19,11.711055
3495,3,250.0,262.4594594594595,16.79,11.57,8.16,2020,8,34,21,2,177.6,10.32,7.69,153.9,107.5,107.5,180.3,318.27,9975.0,0.0,2020.0_34.0_21.0_2.0,10.32,11.609087
2572,3,257.0,264.15151515151524,14.544,13.74,7.98,2020,7,30,23,8,173.8,12.35,7.69,141.2,122.7,122.7,174.3,310.29,11390.0,0.0,2020.0_30.0_23.0_8.0,12.35,11.583248
3698,3,253.0,249.5217391304348,14.925,12.22,8.17,2020,8,35,24,3,169.6,10.98,7.84,137.4,109.3,109.3,169.3,318.27,9734.0,0.0,2020.0_35.0_24.0_3.0,10.98,11.77618
